Site ,Month.n,Month.a,Month,Day,Year,Temp.min,Temp.max,Temp.a
NOAA,M8,Apr,4,10,2020,26.87,27.33,27.1
NOAA,M8,Apr,4,11,2020,26.59,27.28,26.94
NOAA,M8,Apr,4,12,2020,26.6,27.4,27
NOAA,M8,Apr,4,13,2020,26.35,27.48,26.92
NOAA,M8,Apr,4,14,2020,26.11,27.44,26.78
NOAA,M8,Apr,4,15,2020,26.06,27.48,26.77
NOAA,M8,Apr,4,16,2020,25.82,27.5,26.66
NOAA,M8,Apr,4,17,2020,25.59,27.58,26.59
NOAA,M8,Apr,4,18,2020,25.64,27.57,26.61
NOAA,M8,Apr,4,19,2020,25.71,27.45,26.58
NOAA,M8,Apr,4,20,2020,25.89,27.38,26.64
NOAA,M8,Apr,4,21,2020,25.82,27.47,26.65
NOAA,M8,Apr,4,22,2020,26.12,27.52,26.82
NOAA,M8,Apr,4,23,2020,25.99,27.54,26.77
NOAA,M8,Apr,4,24,2020,26.06,27.59,26.83
NOAA,M8,Apr,4,25,2020,26.28,27.59,26.94
NOAA,M8,Apr,4,26,2020,26.27,27.67,26.97
NOAA,M8,Apr,4,27,2020,25.91,27.52,26.72
NOAA,M8,Apr,4,28,2020,25.7,27.52,26.61
NOAA,M8,Apr,4,29,2020,25.84,27.53,26.69
NOAA,M8,Apr,4,30,2020,26.04,27.51,26.78
NOAA,M9,May,5,1,2020,26.2,27.44,26.82
NOAA,M9,May,5,2,2020,26.38,27.46,26.92
NOAA,M9,May,5,3,2020,26.31,27.47,26.89
NOAA,M9,May,5,4,2020,26.27,27.33,26.8
NOAA,M9,May,5,5,2020,26.63,27.44,27.04
NOAA,M9,May,5,6,2020,26.61,27.43,27.02
NOAA,M9,May,5,7,2020,26.69,27.34,27.02
NOAA,M9,May,5,8,2020,26.48,27.36,26.92
NOAA,M9,May,5,9,2020,26.37,27.06,26.72
NOAA,M9,May,5,10,2020,26.17,27.31,26.74
NOAA,M9,May,5,11,2020,25.87,27.36,26.62
NOAA,M9,May,5,12,2020,25.59,27.33,26.46
NOAA,M9,May,5,13,2020,25.46,27.17,26.32
NOAA,M9,May,5,14,2020,25.9,27.07,26.49
NOAA,M9,May,5,15,2020,25.92,27.25,26.59
NOAA,M9,May,5,16,2020,25.9,27.45,26.68
NOAA,M9,May,5,17,2020,25.81,27.44,26.63
NOAA,M9,May,5,18,2020,25.93,27.25,26.59
NOAA,M9,May,5,19,2020,26.04,27.33,26.69
NOAA,M9,May,5,20,2020,26.07,27.39,26.73
NOAA,M9,May,5,21,2020,26.11,27.37,26.74
NOAA,M9,May,5,22,2020,26.21,27.52,26.87
NOAA,M9,May,5,23,2020,26.35,27.65,27
NOAA,M9,May,5,24,2020,26.42,27.56,26.99
NOAA,M9,May,5,25,2020,26.45,27.29,26.87
NOAA,M9,May,5,26,2020,26.38,27.33,26.86
NOAA,M9,May,5,27,2020,26.45,27.34,26.9
NOAA,M9,May,5,28,2020,26.53,27.54,27.04
NOAA,M9,May,5,29,2020,26.76,27.43,27.1
NOAA,M9,May,5,30,2020,26.82,27.43,27.13
NOAA,M9,May,5,31,2020,26.8,27.69,27.25
NOAA,M10,Jun,6,1,2020,26.99,27.69,27.34
NOAA,M10,Jun,6,2,2020,26.89,27.72,27.31
NOAA,M10,Jun,6,3,2020,26.81,27.84,27.33
NOAA,M10,Jun,6,4,2020,26.94,27.65,27.3
NOAA,M10,Jun,6,5,2020,26.88,27.63,27.26
NOAA,M10,Jun,6,6,2020,26.54,27.68,27.11
NOAA,M10,Jun,6,7,2020,26.74,27.81,27.28
NOAA,M10,Jun,6,8,2020,26.93,27.86,27.4
NOAA,M10,Jun,6,9,2020,26.92,27.86,27.39
NOAA,M10,Jun,6,10,2020,26.67,27.98,27.33
NOAA,M10,Jun,6,11,2020,27.1,28.02,27.56
NOAA,M10,Jun,6,12,2020,27.2,28.11,27.66
NOAA,M10,Jun,6,13,2020,27.25,28.19,27.72
NOAA,M10,Jun,6,14,2020,27,28.07,27.54
NOAA,M10,Jun,6,15,2020,26.93,27.97,27.45
NOAA,M10,Jun,6,16,2020,26.96,28.06,27.51
NOAA,M10,Jun,6,17,2020,26.58,27.88,27.23
NOAA,M10,Jun,6,18,2020,26.89,27.98,27.44
NOAA,M10,Jun,6,19,2020,26.68,27.9,27.29
NOAA,M10,Jun,6,20,2020,26.96,27.88,27.42
NOAA,M10,Jun,6,21,2020,27.02,27.96,27.49
NOAA,M10,Jun,6,22,2020,26.89,27.52,27.21
NOAA,M10,Jun,6,23,2020,26.99,27.76,27.38
NOAA,M10,Jun,6,24,2020,26.37,27.49,26.93
NOAA,M10,Jun,6,25,2020,26.3,27.69,27
NOAA,M10,Jun,6,26,2020,26.74,27.9,27.32
NOAA,M10,Jun,6,27,2020,26.83,27.9,27.37
NOAA,M10,Jun,6,28,2020,26.89,27.95,27.42
NOAA,M10,Jun,6,29,2020,26.77,27.78,27.28
NOAA,M10,Jun,6,30,2020,26.55,27.78,27.17
