Site,Month.a,Month.n,Sample,TN_uM,TP_uM
BD,Apr,M8,M8.2,4.047619048,0.193
BD,Apr,M8,M8.1,3.387720591,0.229
KL,Apr,M8,M8.2,0.238095238,0.184
KL,Apr,M8,M8.1,1.130952104,0.259
OL,Apr,M8,M8.2,0,0.187
OL,Apr,M8,M8.1,2.259336348,0.236
SS,Apr,M8,M8.2,4.285714286,0.183
SS,Apr,M8,M8.1,3.40616829,0.219
BD,Aug,M12,M12.2,6.666666667,0.17
BD,Aug,M12,M12.1,5.423116692,0.133
KL,Aug,M12,M12.2,0.238095238,0.184
KL,Aug,M12,M12.1,2.253187115,0.151
OL,Aug,M12,M12.2,0.238095238,0.177
OL,Aug,M12,M12.1,3.317004412,0.227
SS,Aug,M12,M12.2,2.240888649,0.256
SS,Aug,M12,M12.1,4.943476524,0.149
BD,Dec,M4,M4.2,3.81,0.195
KL,Dec,M4,M4.2,3.571,0.186
OL,Dec,M4,M4.2,2.619,0.176
OL,Dec,M4,M4.1,2.926528121,0.216
SS,Dec,M4,M4.2,6.19,0.199
BD,Feb,M6,M6.2,4.761904762,0.201
BD,Feb,M6,M6.1,1.991844715,0.244
KL,Feb,M6,M6.2,2.142857143,0.193
KL,Feb,M6,M6.1,2.133277073,0.227
OL,Feb,M6,M6.2,4.761904762,0.218
OL,Feb,M6,M6.1,2.176321703,0.205
SS,Feb,M6,M6.2,4.523809524,0.383
SS,Feb,M6,M6.1,1.71820385,0.245
BD,Jan,M5,M5.2,4.285714286,0.193
BD,Jan,M5,M5.1,2.047187812,0.224
KL,Jan,M5,M5.2,3.80952381,0.176
KL,Jan,M5,M5.1,2.646738023,0.364
OL,Jan,M5,M5.2,4.523809524,0.187
OL,Jan,M5,M5.1,2.028740113,0.249
SS,Jan,M5,M5.2,3.80952381,0.232
SS,Jan,M5,M5.1,1.948800085,0.249
BD,Jul,M11,M11.2,4.285714286,0.18
BD,Jul,M11,M11.1,5.933503026,0.192
KL,Jul,M11,M11.2,2.778946531,0.244
KL,Jul,M11,M11.1,10.08116064,0.194
OL,Jul,M11,M11.2,6.666666667,0.157
OL,Jul,M11,M11.1,25.50958607,0.212
SS,Jul,M11,M11.2,0.714285714,0.201
SS,Jul,M11,M11.1,22.35502958,0.19
BD,Jun,M10,M10.2,0.714285714,0.204
BD,Jun,M10,M10.1,2.287007896,0.222
KL,Jun,M10,M10.2,0.238095238,0.209
KL,Jun,M10,M10.1,1.850412358,0.222
OL,Jun,M10,M10.2,0,0.253
OL,Jun,M10,M10.1,2.511454898,0.224
SS,Jun,M10,M10.2,11.66666667,0.187
SS,Jun,M10,M10.1,2.219366334,0.224
BD,Mar,M7,M7.2,8.571428571,1.142
BD,Mar,M7,M7.1,2.160948621,0.256
KL,Mar,M7,M7.2,8.571428571,0.589
KL,Mar,M7,M7.1,2.06563551,0.227
OL,Mar,M7,M7.2,3.333333333,0.2
OL,Mar,M7,M7.1,6.360874715,0.259
SS,Mar,M7,M7.2,3.80952381,0.201
SS,Mar,M7,M7.1,2.096381675,0.255
BD,May,M9,M9.2,0.476190476,0.238
BD,May,M9,M9.1,9.815206316,0.161
KL,May,M9,M9.2,0.714285714,0.21
KL,May,M9,M9.1,2.214754409,0.166
OL,May,M9,M9.2,0.238095238,0.209
OL,May,M9,M9.1,2.299306362,0.169
SS,May,M9,M9.2,2.857142857,0.242
SS,May,M9,M9.1,4.147150859,0.167
BD,Nov,M3,M3.2,3.571,0.213
KL,Nov,M3,M3.2,3.095,0.194
OL,Nov,M3,M3.2,4.048,0.214
OL,Nov,M3,M3.1,2.489932583,0.186
SS,Nov,M3,M3.2,3.571,0.199
BD,Oct,M2,M2.2,4.286,0.269
KL,Oct,M2,M2.2,5,0.19
OL,Oct,M2,M2.2,2.857,0.176
OL,Oct,M2,M2.1,2.7359019,0.21
SS,Oct,M2,M2.2,4.286,0.174
BD,Sep,M1,M1.2,1.905,0.119
BD,Sep,M13,M13.1,6.265561604,0.221
KL,Sep,M1,M1.2,3.571,0.178
KL,Sep,M13,M13.1,3.504556017,0.275
OL,Sep,M1,M1.2,5.952,0.208
OL,Sep,M13,M13.1,2.17939632,0.236
SS,Sep,M1,M1.2,3.095,0.119
SS,Sep,M13,M13.1,2.336201759,0.268
BD,Oct,M2,M2.1,7.142857143,0.192
KL,Oct,M2,M2.1,6.666666667,0.203
SS,Oct,M2,M2.1,6.428571429,0.204
BD,Nov,M3,M3.1,7.380952381,0.197
KL,Nov,M3,M3.1,7.857142857,0.429
SS,Nov,M3,M3.1,9.285714286,0.221
BD,Dec,M4,M4.1,6.428571429,0.216
KL,Dec,M4,M4.1,6.666666667,0.196
SS,Dec,M4,M4.1,6.666666667,0.235
